name,year,a0014,a1539,a4064,a6500,atot,p0014,p1539,p4064,p6500,medage
Timaru district,2021,8400,13500,15700,10900,48400,17.4,27.8,32.4,22.5,44.4
Mackenzie district,2018,840,1720,1710,830,5100,16.5,33.8,33.4,16.2,39.6
Mackenzie district,2019,850,1830,1740,860,5280,16,34.7,32.9,16.3,39.3
Mackenzie district,2020,880,1910,1760,910,5450,16.1,35,32.2,16.6,39
Mackenzie district,2021,870,1900,1760,950,5480,15.9,34.6,32.2,17.3,39.5
Waimate district,2018,1390,2100,2810,1820,8120,17.1,25.9,34.6,22.5,46.1
Waimate district,2019,1350,2150,2800,1880,8180,16.5,26.3,34.2,23,46.5
Waimate district,2020,1340,2190,2810,1920,8260,16.2,26.5,34,23.3,46.6
Waimate district,2021,1340,2160,2810,1980,8290,16.1,26.1,33.9,23.9,47.1
Chatham Islands territory,2018,110,220,260,90,690,16.4,32.4,38.4,12.7,41.3
Chatham Islands territory,2019,110,240,260,90,710,16.1,33.3,37.4,13.2,40.6
Chatham Islands territory,2020,130,250,270,100,750,17.4,32.9,36.6,13.2,39.9
Chatham Islands territory,2021,130,260,280,100,780,17,34,35.8,13.3,39.4
Waitaki district,2018,4200,6000,7600,5200,22900,18.1,26.1,33.3,22.5,45.2
Waitaki district,2019,4100,6200,7600,5300,23200,17.8,26.6,32.9,22.7,45.2
Waitaki district,2020,4100,6400,7700,5400,23600,17.4,27.3,32.5,22.9,45
Waitaki district,2021,4100,6500,7700,5500,23800,17.1,27.5,32.3,23.1,45
Central Otago district,2018,3700,5800,7800,5000,22200,16.5,26.2,34.9,22.4,46.2
Central Otago district,2019,3800,6100,8000,5200,23000,16.4,26.4,34.5,22.6,46.3
Central Otago district,2020,3900,6700,8200,5500,24200,16,27.7,33.8,22.6,45.8
Central Otago district,2021,3900,6900,8300,5700,24800,15.7,27.8,33.4,23,45.9
Queenstown-Lakes district,2018,6700,19100,12300,4300,42500,15.9,44.9,29.1,10.2,33.8
Queenstown-Lakes district,2019,7000,20500,12900,4500,44800,15.5,45.6,28.8,10.1,33.7
Queenstown-Lakes district,2020,7200,21700,13600,4900,47400,15.3,45.8,28.6,10.3,33.9
Queenstown-Lakes district,2021,7500,21600,14000,5200,48300,15.5,44.7,29,10.8,34.6
Dunedin city,2018,20300,50600,39700,20700,131200,15.4,38.6,30.3,15.7,36.3
Dunedin city,2019,20200,50800,39700,21400,132100,15.3,38.4,30.1,16.2,36.6
Dunedin city,2020,20200,50700,39900,22000,132800,15.2,38.1,30,16.6,37
Dunedin city,2021,20300,50400,39900,22700,133300,15.2,37.8,29.9,17.1,37.3
Clutha district,2018,3400,5100,6400,3150,18050,18.9,28.2,35.6,17.4,42.4
Clutha district,2019,3400,5150,6400,3200,18150,18.7,28.3,35.4,17.6,42.6
Clutha district,2020,3450,5300,6350,3350,18400,18.6,28.7,34.6,18.1,42.4
Clutha district,2021,3450,5300,6300,3450,18500,18.6,28.6,34.1,18.7,42.6
Southland district,2018,6600,9700,10800,4700,31900,20.8,30.4,33.9,14.9,39
Southland district,2019,6600,9800,10800,4900,32200,20.4,30.5,33.7,15.3,39.3
Southland district,2020,6600,10000,10900,5200,32700,20.2,30.6,33.4,15.8,39.4
Southland district,2021,6500,9900,10900,5400,32700,20,30.4,33.2,16.5,39.8
Gore district,2018,2450,3550,4300,2550,12800,19,27.6,33.6,19.8,43.2
Gore district,2019,2350,3600,4300,2600,12850,18.5,28,33.4,20.1,43.3
Gore district,2020,2400,3700,4300,2600,13000,18.3,28.5,33.1,20.1,43
Gore district,2021,2350,3750,4250,2700,13050,18.1,28.7,32.6,20.7,43
Invercargill city,2018,10800,17800,17800,9500,55900,19.3,31.8,31.9,17,39
Invercargill city,2019,10900,18000,17900,9700,56600,19.2,31.9,31.7,17.2,39.1
Invercargill city,2020,10800,18400,18000,10000,57100,18.8,32.2,31.5,17.5,39.2
Invercargill city,2021,10700,18100,18000,10200,57000,18.7,31.8,31.5,17.9,39.6
New Zealand,2018,946400,1676900,1542300,734900,4900600,19.3,34.2,31.5,15,37.2
New Zealand,2019,956000,1705600,1557700,759800,4979200,19.2,34.3,31.3,15.3,37.3
New Zealand,2020,966400,1750100,1581800,791900,5090200,19,34.4,31.1,15.6,37.4
New Zealand,2021,968600,1745400,1589500,819100,5122600,18.9,34.1,31,16,37.7
Northland region,2018,38600,50100,61200,36000,185800,20.8,27,32.9,19.4,42.3
Northland region,2019,38800,51300,61700,37400,189100,20.5,27.1,32.6,19.8,42.4
Northland region,2020,39500,53100,62700,39100,194300,20.3,27.3,32.3,20.1,42.4
Northland region,2021,39900,54100,63000,40900,197900,20.2,27.3,31.8,20.7,42.5
Auckland region,2018,324100,630300,503400,197000,1654800,19.6,38.1,30.4,11.9,34.6
Auckland region,2019,328600,638300,510500,203900,1681300,19.5,38,30.4,12.1,34.9
Auckland region,2020,333500,649300,520300,213700,1716900,19.4,37.8,30.3,12.4,35.1
Auckland region,2021,333300,638200,523300,220800,1715600,19.4,37.2,30.5,12.9,35.6
Waikato region,2018,98900,154900,146900,74800,475600,20.8,32.6,30.9,15.7,37.1
Waikato region,2019,100500,158600,148800,77800,485700,20.7,32.7,30.6,16,37.2
Waikato region,2020,102000,164400,151200,81800,499300,20.4,32.9,30.3,16.4,37.2
Waikato region,2021,102900,165800,152400,84900,506000,20.3,32.8,30.1,16.8,37.4
Bay of Plenty region,2018,65600,95300,101400,58500,320800,20.5,29.7,31.6,18.2,39.9
Bay of Plenty region,2019,66700,98000,102900,60700,328200,20.3,29.8,31.3,18.5,39.9
Bay of Plenty region,2020,67700,102600,104800,63300,338400,20,30.3,31,18.7,39.7
Bay of Plenty region,2021,68500,103700,105600,65600,343400,19.9,30.2,30.8,19.1,39.9
Gisborne region,2018,11600,15000,15400,7500,49500,23.4,30.4,31,15.2,36.6
Gisborne region,2019,11700,15300,15500,7800,50200,23.2,30.5,30.9,15.4,36.6
Gisborne region,2020,11600,15800,15700,8100,51100,22.8,30.9,30.6,15.7,36.7
Gisborne region,2021,11600,15900,15600,8400,51500,22.5,30.9,30.3,16.2,37
Hawke's Bay region,2018,35700,50100,55600,31000,172400,20.7,29.1,32.2,18,40.2
Hawke's Bay region,2019,35900,51200,55900,31900,174900,20.5,29.3,32,18.2,40.2
Hawke's Bay region,2020,36000,54000,56700,33000,179700,20,30,31.6,18.4,40
Hawke's Bay region,2021,36100,54400,57100,34000,181500,19.9,29.9,31.4,18.8,40.2
Taranaki region,2018,25100,35900,39400,20800,121200,20.7,29.6,32.5,17.2,39.7
Taranaki region,2019,25700,36100,39700,21600,123100,20.9,29.4,32.2,17.5,39.8
Taranaki region,2020,25900,37000,40100,22300,125200,20.7,29.5,32.1,17.8,39.9
Taranaki region,2021,26000,37200,40300,22900,126400,20.6,29.4,31.9,18.1,40
Manawatū-Whanganui region,2018,48900,77700,77100,43800,247500,19.8,31.4,31.1,17.7,38.9
Manawatū-Whanganui region,2019,49300,78700,77300,45200,250600,19.7,31.4,30.8,18.1,38.9
Manawatū-Whanganui region,2020,49700,80300,77700,46800,254500,19.5,31.5,30.5,18.4,39
Manawatū-Whanganui region,2021,49800,80700,77800,48200,256500,19.4,31.5,30.3,18.8,39.2
Wellington region,2018,95400,188400,167900,74200,525900,18.1,35.8,31.9,14.1,37
Wellington region,2019,95600,191700,169200,76100,532600,17.9,36,31.8,14.3,37
Wellington region,2020,96000,196500,171700,78700,543000,17.7,36.2,31.6,14.5,37.1
Wellington region,2021,95500,197800,172800,81000,547000,17.5,36.2,31.6,14.8,37.3
Tasman region,2018,9600,13300,19900,11200,54000,17.8,24.7,36.8,20.7,46
Tasman region,2019,9500,13700,20000,11800,54900,17.3,25,36.4,21.4,46.4
Tasman region,2020,9400,14900,20300,12400,57000,16.5,26.1,35.6,21.8,46.3
Tasman region,2021,9400,15000,20500,13000,57900,16.2,26,35.4,22.5,46.8
Nelson region,2018,9200,15300,18200,10000,52700,17.5,29,34.5,19,43
Nelson region,2019,9200,15600,18300,10300,53400,17.3,29.1,34.3,19.3,43.1
Nelson region,2020,9200,16200,18500,10800,54700,16.8,29.7,33.8,19.7,43
Nelson region,2021,9100,16100,18300,11200,54700,16.6,29.5,33.5,20.4,43.4
Marlborough region,2018,8400,12900,16600,10800,48700,17.3,26.5,34.1,22.2,45.2
Marlborough region,2019,8400,13100,16700,11100,49300,17.1,26.5,34,22.5,45.5
Marlborough region,2020,8500,14100,17000,11400,51000,16.6,27.6,33.3,22.4,45.1
Marlborough region,2021,8500,14200,17000,11800,51500,16.5,27.5,33.1,22.9,45.3
West Coast region,2018,5700,8600,11900,6300,32400,17.5,26.5,36.5,19.5,45.5
West Coast region,2019,5600,8500,11700,6600,32500,17.3,26.3,36,20.5,46.1
West Coast region,2020,5600,8600,11600,7000,32800,17,26.3,35.3,21.3,46.5
West Coast region,2021,5500,8500,11400,7300,32700,16.8,26.1,34.9,22.2,47.2
Canterbury region,2018,111600,211800,201200,98200,622800,17.9,34,32.3,15.8,38.4
Canterbury region,2019,112500,215700,202200,101300,631700,17.8,34.1,32,16,38.4
Canterbury region,2020,113500,220800,204800,105000,644100,17.6,34.3,31.8,16.3,38.5
Canterbury region,2021,114000,221600,205600,108600,649800,17.6,34.1,31.6,16.7,38.7
Otago region,2018,38000,86000,73200,37800,235000,16.1,36.6,31.2,16.1,37.7
Otago region,2019,38100,88100,74000,39200,239400,15.9,36.8,30.9,16.4,37.7
Otago region,2020,38600,90200,75100,40700,244600,15.8,36.9,30.7,16.6,37.8
Otago region,2021,38900,90100,75500,42200,246700,15.8,36.5,30.6,17.1,38.1
Southland region,2018,19800,31000,32900,16800,100500,19.7,30.9,32.7,16.7,39.5
Southland region,2019,19800,31500,33000,17300,101600,19.5,31,32.5,17,39.6
Southland region,2020,19700,32100,33200,17800,102800,19.2,31.2,32.3,17.3,39.7
Southland region,2021,19600,31800,33100,18300,102700,19,30.9,32.2,17.8,40
North Island Regions,2018,744000,1297800,1168200,543700,3753700,19.8,34.6,31.1,14.5,36.5
North Island Regions,2019,752700,1319200,1181500,562300,3815700,19.7,34.6,31,14.7,36.7
North Island Regions,2020,761800,1352900,1201000,586700,3902500,19.5,34.7,30.8,15,36.8
North Island Regions,2021,763600,1347700,1207800,606700,3925800,19.5,34.3,30.8,15.5,37.2
South Island Regions,2018,202300,378900,373900,191200,1146200,17.6,33.1,32.6,16.7,39.4
South Island Regions,2019,203200,386100,376000,197500,1162800,17.5,33.2,32.3,17,39.4
South Island Regions,2020,204500,396900,380500,205100,1187000,17.2,33.4,32.1,17.3,39.5
South Island Regions,2021,204900,397400,381400,212300,1196000,17.1,33.2,31.9,17.8,39.7
New Zealand,2018,946400,1676900,1542300,734900,4900600,19.3,34.2,31.5,15,37.2
New Zealand,2019,956000,1705600,1557700,759800,4979200,19.2,34.3,31.3,15.3,37.3
New Zealand,2020,966400,1750100,1581800,791900,5090200,19,34.4,31.1,15.6,37.4
New Zealand,2021,968600,1745400,1589500,819100,5122600,18.9,34.1,31,16,37.7
